,name,lat,lng,id,Note
0,Pizzeria Italiana Da Michele,48.867739,2.356261,51430960e4b0455b2d070f45,None
1,O'scià Pizzeria Napoletana,48.864821,2.347524,4c9894df07916dcb8d01ed1b,7.6
2,Pizzeria d'Istanbul,48.837677,2.359962,4dc445371f6ef43b89f7e46e,None
3,Pizzeria Mazarine,48.853989,2.337987,4c6fb714d274b60c3d57d70d,None
4,Pizzeria Maccaron,48.859454,2.344401,5371073c498e8b0d316a4db8,None
5,Pizzeria Pepone,48.853511,2.337967,5131ded7e4b04a7c69396261,7.3
6,Pizzeria Nino,48.839535,2.299931,523741de11d2a8888a604602,None
7,Pizzeria La Gaine,48.859215,2.354996,4e59e059483b865169e59dba,None
8,Pizzeria Luciana,48.845297,2.342616,573eecb1498ebf4b4efd1b8c,None
9,Pizzeria Luka,48.862087,2.351836,4e59fe822271886714fb58d5,None
10,Pizzeria Ghost,48.861029,2.358219,4e58fd782271886714ec7f9d,None
11,pizzeria,48.884677,2.333735,58ce831d18fd2b1c6a40c5ec,None
12,Mama Pizzeria,48.859778,2.402545,513130f5e4b0ed2721b6e1fa,8
13,Pizzeria Romanella,48.838223,2.35645,51043554e4b08881ebbec640,None
14,Pizzeria Don Jacomo,48.853623,2.370256,53f79936498ef939417afa78,6.5
15,Pizzeria Sette,48.85655,2.373932,5b5e12e160255e002c0d5d51,None
16,Pizzeria Les Comédiens,48.844731,2.320639,4ba66d6cf964a520635139e3,6.7
17,Pizzeria Sette,48.87127,2.353464,53f7b51b498e5ac6875be50a,8.6
18,Pizzeria Miramar,48.870489,2.32064,543eb095498e12bc703d80a5,None
19,Pizzeria Saint Georges,48.87722,2.354398,4e972515b634527c67a6595a,None
20,Pizzeria Napoletana,48.853396,2.378799,4e0328be7d8bf11e9f3c1383,None
21,Pizzeria Saint-Lazare,48.876788,2.337441,4b41e2a0f964a520c7c925e3,None
22,Pizzeria Chez Hino,48.840488,2.312244,4eef943377c82b92fa7121d1,None
23,Pizzeria d'Auteuil,48.848773,2.265839,4b8d6621f964a5206ff932e3,7.9
24,Pizzeria Via Maria,48.836997,2.318552,4d946494ca3f6ea8f502c834,6.4
25,Pizzeria Renato,48.866348,2.364821,4b8bffebf964a52082b732e3,7.5
26,Vecchia Bar Pizzeria,48.854704,2.324866,4f91c6eae4b0ccf0717648df,None
27,Valponi Pizzeria,48.87094,2.346583,4b5f4f04f964a52038b329e3,5.3
28,Pizzeria Al Taglio,48.846176,2.38659,5559c8ae498e23395fd9c60d,None
29,Pizzeria Verona,48.83952,2.305722,4f999df4e4b03d12fb0b163e,None
